A:00 F:40 B:EB C:10 D:00 E:D8 H:DF L:EA SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EB C:10 D:00 E:D8 H:DF L:EA SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EB C:10 D:00 E:D8 H:DF L:E9 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EA C:10 D:00 E:D8 H:DF L:E9 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EA C:10 D:00 E:D8 H:DF L:E9 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:EA C:10 D:00 E:D8 H:DF L:E8 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E9 C:10 D:00 E:D8 H:DF L:E8 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E9 C:10 D:00 E:D8 H:DF L:E8 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E9 C:10 D:00 E:D8 H:DF L:E7 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E8 C:10 D:00 E:D8 H:DF L:E7 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E8 C:10 D:00 E:D8 H:DF L:E7 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E8 C:10 D:00 E:D8 H:DF L:E6 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E7 C:10 D:00 E:D8 H:DF L:E6 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E7 C:10 D:00 E:D8 H:DF L:E6 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E7 C:10 D:00 E:D8 H:DF L:E5 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E6 C:10 D:00 E:D8 H:DF L:E5 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E6 C:10 D:00 E:D8 H:DF L:E5 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E6 C:10 D:00 E:D8 H:DF L:E4 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E5 C:10 D:00 E:D8 H:DF L:E4 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E5 C:10 D:00 E:D8 H:DF L:E4 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E5 C:10 D:00 E:D8 H:DF L:E3 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E4 C:10 D:00 E:D8 H:DF L:E3 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E4 C:10 D:00 E:D8 H:DF L:E3 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E4 C:10 D:00 E:D8 H:DF L:E2 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E3 C:10 D:00 E:D8 H:DF L:E2 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:02
A:00 F:40 B:E3 C:10 D:00 E:D8 H:DF L:E2 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E3 C:10 D:00 E:D8 H:DF L:E1 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E2 C:10 D:00 E:D8 H:DF L:E1 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E2 C:10 D:00 E:D8 H:DF L:E1 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E2 C:10 D:00 E:D8 H:DF L:E0 SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E1 C:10 D:00 E:D8 H:DF L:E0 SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E1 C:10 D:00 E:D8 H:DF L:E0 SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E1 C:10 D:00 E:D8 H:DF L:DF SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E0 C:10 D:00 E:D8 H:DF L:DF SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E0 C:10 D:00 E:D8 H:DF L:DF SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:E0 C:10 D:00 E:D8 H:DF L:DE SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:60 B:DF C:10 D:00 E:D8 H:DF L:DE SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:60 B:DF C:10 D:00 E:D8 H:DF L:DE SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:60 B:DF C:10 D:00 E:D8 H:DF L:DD SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DE C:10 D:00 E:D8 H:DF L:DD SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DE C:10 D:00 E:D8 H:DF L:DD SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DE C:10 D:00 E:D8 H:DF L:DC SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DD C:10 D:00 E:D8 H:DF L:DC SP:FFFE PC:0217 PCMEM:20,FC,0D,20 LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DD C:10 D:00 E:D8 H:DF L:DC SP:FFFE PC:0215 PCMEM:32,05,20,FC LY:00 STAT:80 LCDC:00 DIV:03
A:00 F:40 B:DD C:10 D:00 E:D8 H:DF L:DB SP:FFFE PC:0216 PCMEM:05,20,FC,0D LY:00 STAT:80 LCDC:00 DIV:03
